Year,Units,general.territorio,Value
2010,UNIDAD_MEDIDA.PER_10000_POP,ES,5.96
2010,UNIDAD_MEDIDA.PER_10000_POP,ES53,5.36
2011,UNIDAD_MEDIDA.PER_10000_POP,ES,6.20
2011,UNIDAD_MEDIDA.PER_10000_POP,ES53,5.52
2012,UNIDAD_MEDIDA.PER_10000_POP,ES,6.68
2012,UNIDAD_MEDIDA.PER_10000_POP,ES53,5.80
2013,UNIDAD_MEDIDA.PER_10000_POP,ES,6.98
2013,UNIDAD_MEDIDA.PER_10000_POP,ES53,6.30
2014,UNIDAD_MEDIDA.PER_10000_POP,ES,7.16
2014,UNIDAD_MEDIDA.PER_10000_POP,ES53,6.62
2015,UNIDAD_MEDIDA.PER_10000_POP,ES,7.46
2015,UNIDAD_MEDIDA.PER_10000_POP,ES53,6.80
2016,UNIDAD_MEDIDA.PER_10000_POP,ES,7.68
2016,UNIDAD_MEDIDA.PER_10000_POP,ES53,6.84
2017,UNIDAD_MEDIDA.PER_10000_POP,ES,7.86
2017,UNIDAD_MEDIDA.PER_10000_POP,ES53,6.98
2018,UNIDAD_MEDIDA.PER_10000_POP,ES,8.06
2018,UNIDAD_MEDIDA.PER_10000_POP,ES53,7.10
2019,UNIDAD_MEDIDA.PER_10000_POP,ES,8.20
2019,UNIDAD_MEDIDA.PER_10000_POP,ES53,7.06
2020,UNIDAD_MEDIDA.PER_10000_POP,ES,8.38
2020,UNIDAD_MEDIDA.PER_10000_POP,ES53,7.14
2021,UNIDAD_MEDIDA.PER_10000_POP,ES,8.50
2021,UNIDAD_MEDIDA.PER_10000_POP,ES53,7.26
2022,UNIDAD_MEDIDA.PER_10000_POP,ES,8.52
2022,UNIDAD_MEDIDA.PER_10000_POP,ES53,7.36
2023,UNIDAD_MEDIDA.PER_10000_POP,ES,8.66
2023,UNIDAD_MEDIDA.PER_10000_POP,ES53,7.58
